Instance,SD-TOM,SD,VAM
441,2954465,2948908,2959956
442,2937614,2949922,2957084
443,2942049,2942049,2969501
444,2929082,2929051,2943634
445,3029877,3029877,3052707
446,2995250,2995586,2998204
447,3026473,3026473,3030810
448,2966567,2966567,2970481
449,2979300,2975534,2973594
450,2951271,2951271,2957830
451,3037280,3036897,3043164
452,2896621,2913824,2948818
453,2870903,2870680,2965878
454,3005691,3010839,2986308
455,2884386,2888604,2923721
456,2941730,2967909,2967909
457,2997196,3028344,2923767
458,2858476,2901482,2878290
459,3025298,3005614,3061982
460,2985591,3008487,3014368
461,2029517,2266754,2595534
462,1967734,2070684,2267862
463,2202433,2252444,2700843
464,2119228,2231452,2707746
465,2000488,2103398,2734373
466,2056839,2262036,2553634
467,2196671,2373348,2694487
468,1884897,2122346,2589024
469,2054460,2251477,2565210
470,1926904,2329610,2552812
471,892623,903430,499698
472,829144,838124,483871
473,1012724,997902,634239
474,983695,962415,534750
475,968275,1170967,616673
476,932841,1101611,616867
477,928405,1151748,534104
478,934946,1179948,451456
479,1101592,1038641,707030
480,1007948,1213812,596160
481,5028735,5027685,5027238
482,4745975,4742798,4742619
483,4894336,4893241,4891432
484,4876674,4877860,4871167
485,4875655,4875677,4872914
486,4918806,4919614,4917401
487,4867214,4867582,4864698
488,4719440,4719440,4714967
489,4932376,4932376,4925868
490,4916353,4916695,4913109
491,4489540,4490172,4453206
492,4622573,4621969,4600362
493,4620455,4616618,4599726
494,4623908,4620313,4604410
495,4524195,4524723,4501163
496,4221536,4217215,4196531
497,4648481,4646881,4636291
498,4597207,4592589,4566353
499,4614006,4613965,4583520
500,4469087,4469463,4446388
501,3024445,3025407,2954458
502,3032152,3046428,2934333
503,2949678,2940886,2846323
504,3013778,3013635,2866895
505,2979607,3029960,2928673
506,3085577,3073129,2985317
507,3037540,3062993,2982356
508,2987991,2982377,2792674
509,2872452,2888924,2672889
510,3077392,3080272,2935084
511,1101940,1087885,820413
512,1330280,1391659,1005534
513,1173299,1174377,900036
514,1072057,1024265,668853
515,1214170,1200320,1035237
516,1348307,1364474,1122399
517,1215599,1211663,850266
518,1132873,1110847,887751
519,1190446,1259712,1011783
520,1235638,1253768,1138007
521,4912028,4914253,4910056
522,4945175,4948316,4947965
523,4927894,4925728,4922667
524,4901138,4901795,4899632
525,4907380,4907825,4902454
526,4859950,4859853,4852468
527,4950996,4950215,4944727
528,4762272,4764937,4758077
529,5010911,5012340,5004365
530,4926803,4927611,4922938
531,4617101,4620388,4621856
532,4606546,4614941,4589353
533,4709295,4710076,4670023
534,4601458,4600865,4561322
535,4716316,4715719,4710697
536,4626575,4611653,4579300
537,4717735,4709051,4722464
538,4570919,4559833,4538472
539,4610638,4612932,4560768
540,4557799,4565338,4558181
541,3278683,3313869,3426967
542,3154734,3145389,3175909
543,3366639,3444070,3340607
544,3207191,3329389,3445502
545,3092341,3283270,3242511
546,3262104,3361715,3291572
547,3217663,3305429,3242157
548,3309144,3416392,3306058
549,3125289,3245177,3208096
550,3146624,3304030,3224630
551,1148799,1331439,826795
552,1477572,1491115,1010308
553,1134107,1448646,790831
554,1372031,1459406,974510
555,1435376,1634781,1016635
556,1396019,1633341,1019748
557,1397001,1387646,961864
558,1327940,1482570,1022993
559,1128484,1357757,903606
560,1049703,1516769,828124
561,4989568,4999335,5010576
562,4984916,4982247,4978351
563,4968482,4967668,4964856
564,4872740,4871081,4866932
565,4840135,4840361,4837877
566,4993527,4992294,4999241
567,4999763,4999094,5003869
568,4978932,4982937,4985671
569,4958729,4958810,4953677
570,4961782,4961079,4976332
571,4809994,4818713,4791675
