Instance,KSAM!,KSAM2,Minimum,,,
324,2834887,2833394,2833394,,,
325,2866172,2863445,2863445,,,
326,2997629,2998590,2997629,,,
327,3020842,3024194,3020842,,,
328,2940809,2941841,2940809,,,
329,2924863,2924760,2924760,,,
330,2920098,2918229,2918229,,,
331,2828561,2822242,2822242,,,
332,2842670,2802253,2802253,,,
333,2809942,2808711,2808711,,,
334,2583800,2593208,2583800,,,
335,2763680,2763648,2763648,,,
336,2644415,2635797,2635797,,,
337,2620001,2610273,2610273,,,
338,2538318,2534709,2534709,,,
339,2730623,2743356,2730623,,,
340,2720195,2729270,2720195,,,
341,1903938,1865227,1865227,,,
342,1888632,1877671,1877671,,,
343,1994886,1919160,1919160,,,
344,1910422,1853110,1853110,,,
345,1835260,1843494,1835260,,,
346,1797077,1749902,1749902,,,
347,1911568,1887150,1887150,,,
348,1880062,1822200,1822200,,,
349,1980503,1913015,1913015,,,
350,1823899,1813128,1813128,,,
351,835236,851928,835236,,,
352,765150,787932,765150,,,
353,831864,801817,801817,,,
354,805489,717546,717546,,,
355,676384,698787,676384,,,
356,837841,804657,804657,,,
357,843543,838167,838167,,,
358,800413,829979,800413,,,
359,843820,724068,724068,,,
360,606649,621126,606649,,,
361,2924809,2921904,2921904,,,
362,3004915,3003469,3003469,,,
363,2903854,2903833,2903833,,,
364,2968897,2969205,2968897,,,
365,2897748,2896534,2896534,,,
366,2981563,2984908,2981563,,,
367,2942247,2947220,2942247,,,
368,2922654,2922430,2922430,,,
369,2964614,2963389,2963389,,,
370,3027216,3021246,3021246,,,
371,2890498,2923954,2890498,,,
372,2951192,2945757,2945757,,,
373,2906618,2883111,2883111,,,
374,2940098,2940629,2940098,,,
375,2832795,2853751,2832795,,,
376,2823909,2817352,2817352,,,
377,2907611,2899170,2899170,,,
378,2765111,2788445,2765111,,,
379,2839532,2816903,2816903,,,
380,2809737,2817438,2809737,,,
381,2187700,2075626,2075626,,,
382,2298046,2132002,2132002,,,
383,2076372,2065553,2065553,,,
384,2099481,2109988,2099481,,,
385,2234605,2152561,2152561,,,
386,2093473,2062246,2062246,,,
387,2122359,2123428,2122359,,,
388,1989002,2050867,1989002,,,
389,2162659,2081993,2081993,,,
390,2121138,1989568,1989568,,,
391,1081047,1106065,1081047,,,
392,1038795,971689,971689,,,
393,831243,807676,807676,,,
394,1063711,1072389,1063711,,,
395,1410098,1263539,1263539,,,
396,1165099,1197295,1165099,,,
397,1157428,1203565,1157428,,,
398,1174757,1167506,1167506,,,
399,937368,998526,937368,,,
400,1146900,1130511,1130511,,,
401,2967964,2977975,2967964,,,
402,3009509,3009789,3009509,,,
403,2941667,2940211,2940211,,,
404,2951532,2949443,2949443,,,
405,2855405,2855405,2855405,,,
406,2982298,2980688,2980688,,,
407,2954807,2954680,2954680,,,
408,2951839,2952644,2951839,,,
409,2966520,2966520,2966520,,,
410,3057586,3062692,3057586,,,
411,2923484,2928665,2923484,,,
412,2952582,2968809,2952582,,,
413,2958108,2948814,2948814,,,
414,2955713,2953692,2953692,,,
415,2811125,2817716,2811125,,,
416,2952582,2948963,2948963,,,
417,2930113,2921445,2921445,,,
418,2940293,2926891,2926891,,,
419,2920013,2942924,2920013,,,
420,3014327,3007389,3007389,,,
421,2726869,2626115,2626115,,,
422,2645618,2658509,2645618,,,
423,2500155,2520954,2500155,,,
424,2476037,2495465,2476037,,,
425,2527297,2556583,2527297,,,
426,2491446,2428397,2428397,,,
427,2488130,2529390,2488130,,,
428,2757755,2680736,2680736,,,
429,2436805,2391256,2391256,,,
430,2555437,2543527,2543527,,,
431,2008337,1880272,1880272,,,
432,1700764,1694924,1694924,,,
433,1866923,1808325,1808325,,,
434,2030484,2094654,2030484,,,
435,1931439,1856314,1856314,,,
436,1545233,1476113,1476113,,,
437,1700810,1784868,1700810,,,
438,2128612,2157937,2128612,,,
439,2667783,2537175,2537175,,,
440,1826241,1885948,1826241,,,
441,2966383,2965690,2965690,,,
442,2957084,2957084,2957084,,,
443,2969501,2969501,2969501,,,
444,2945641,2945344,2945344,,,
445,3052707,3052707,3052707,,,
446,2998204,2998204,2998204,,,
447,3030810,3030810,3030810,,,
448,2974533,2972146,2972146,,,
449,2978539,2978539,2978539,,,
450,2964703,2962264,2962264,,,
451,3066561,3059465,3059465,,,
452,2957430,2957430,2957430,,,
453,2965878,2965878,2965878,,,
454,3001284,3024322,3001284,,,
455,2930133,2930133,2930133,,,
456,2967909,2967909,2967909,,,
457,2999227,3005815,2999227,,,
458,2898687,2909823,2898687,,,
459,3068252,3068252,3068252,,,
460,3014368,3014368,3014368,,,
461,2744631,2761537,2744631,,,
462,2781103,2781103,2781103,,,
463,2841858,2856006,2841858,,,
464,2840914,2882477,2840914,,,
465,2754768,2850222,2754768,,,
466,3051847,3051847,3051847,,,
467,3046001,3136079,3046001,,,
468,2577257,2691050,2577257,,,
469,2894479,2943143,2894479,,,
470,2886528,2886528,2886528,,,
471,2604906,2677490,2604906,,,
472,1907663,2026462,1907663,,,
473,2982888,2982888,2982888,,,
474,2963626,2963626,2963626,,,
475,2622367,2606033,2606033,,,
476,3126051,3126051,3126051,,,
477,2919899,2929755,2919899,,,
478,3030866,3030866,3030866,,,
479,2705359,2705359,2705359,,,
480,3089988,3089988,3089988,,,
481,5078665,5086095,5078665,,,
482,4791617,4796670,4791617,,,
483,4937156,4932205,4932205,,,
484,4936190,4936788,4936190,,,
485,4935745,4934438,4934438,,,
486,4971130,4973552,4971130,,,
487,4910611,4913667,4910611,,,
488,4772576,4777828,4772576,,,
489,4984421,4982878,4982878,,,
490,4976169,4977740,4976169,,,
491,4581486,4564902,4564902,,,
492,4775365,4781955,4775365,,,
493,4737447,4711433,4711433,,,
494,4746922,4717887,4717887,,,
495,4662392,4655330,4655330,,,
496,4306816,4299011,4299011,,,
497,4781280,4762920,4762920,,,
498,4702971,4716231,4702971,,,
499,4701525,4716036,4701525,,,
500,4556109,4535415,4535415,,,
501,3132869,3007946,3007946,,,
502,3236156,3153751,3153751,,,
503,3098135,2969049,2969049,,,
504,3126283,3025840,3025840,,,
505,3145567,3147000,3145567,,,
506,3086808,3194789,3086808,,,
507,3239483,3158380,3158380,,,
508,3057941,2966643,2966643,,,
509,2938581,2871924,2871924,,,
510,3240846,3161750,3161750,,,
511,950832,1014384,950832,,,
512,1319406,1252185,1252185,,,
513,1199483,1143078,1143078,,,
514,1010211,1051863,1010211,,,
515,1188787,1287684,1188787,,,
516,1328288,1144706,1144706,,,
517,1088558,1104825,1088558,,,
518,1118898,1017289,1017289,,,
519,1226469,1104898,1104898,,,
520,1261459,1300355,1261459,,,
521,4970726,4971714,4970726,,,
522,5004868,5007651,5004868,,,
523,4977600,4974394,4974394,,,
524,4956536,4955404,4955404,,,
525,4968396,4963317,4963317,,,
526,4925548,4926629,4925548,,,
527,5010284,5011375,5010284,,,
528,4827329,4826912,4826912,,,
529,5055235,5059270,5055235,,,
530,4965560,4965404,4965404,,,
531,4775799,4756755,4756755,,,
532,4728520,4741755,4728520,,,
533,4874896,4861513,4861513,,,
534,4682721,4696878,4682721,,,
535,4854439,4826937,4826937,,,
536,4740024,4747378,4740024,,,
537,4861065,4846880,4846880,,,
538,4716419,4720164,4716419,,,
539,4743310,4724992,4724992,,,
540,4686719,4702027,4686719,,,
541,3456341,3470863,3456341,,,
542,3369922,3360931,3360931,,,
543,3599619,3605570,3599619,,,
544,3438096,3397712,3397712,,,
545,3573501,3593567,3573501,,,
546,3433879,3445977,3433879,,,
547,3557243,3504074,3504074,,,
548,3565540,3474458,3474458,,,
