Instance,Costs,Costs,Minimum
331,2812464,2860396,2812464
332,2800279,2833488,2800279
333,2769907,2859108,2769907
334,2570235,2654910,2570235
335,2734693,2820870,2734693
336,2626098,2715147,2626098
337,2602464,2678204,2602464
338,2520997,2591140,2520997
339,2699792,2831871,2699792
340,2697900,2746461,2697900
341,1821206,1866441,1821206
342,1883638,2155181,1883638
343,1961949,2056100,1961949
344,1856175,2096403,1856175
345,1779885,1949146,1779885
346,1697383,2051530,1697383
347,1880634,2228141,1880634
348,1921996,2108194,1921996
349,2019387,2053447,2019387
350,1808618,2079939,1808618
351,840518,1635235,840518
352,764922,1121986,764922
353,845682,1075196,845682
354,855875,1374092,855875
355,620468,1213940,620468
356,838414,1087885,838414
357,821001,1021896,821001
358,791921,1446028,791921
359,843820,1396540,843820
360,608623,776925,608623
361,2916508,2950330,2916508
362,3003779,3023085,3003779
363,2903186,2929655,2903186
364,2966561,3002102,2966561
365,2891489,2923985,2891489
366,2972167,3004943,2972167
367,2941087,2983476,2941087
368,2922241,2957266,2922241
369,2957082,3002244,2957082
370,3017470,3057948,3017470
371,2875030,3007250,2875030
372,2917895,3029655,2917895
373,2852740,2977059,2852740
374,2891125,2962330,2891125
375,2823975,2910041,2823975
376,2784882,2876636,2784882
377,2869289,2970280,2869289
378,2754879,2846002,2754879
379,2814085,2876676,2814085
380,2791671,2864235,2791671
381,2083447,2328909,2083447
382,2254581,2335722,2254581
383,2071422,2351648,2071422
384,2085732,2297622,2085732
385,2132227,2354154,2132227
386,2023054,2264295,2023054
387,2100662,2425495,2100662
388,1997525,2203364,1997525
389,2138428,2433180,2138428
390,2105204,2193953,2105204
391,1096580,1770604,1096580
392,1061666,1532783,1061666
393,851791,1100400,851791
394,1070863,1629336,1070863
395,1352149,2114832,1352149
396,1159718,1823038,1159718
397,1139428,1849050,1139428
398,1156062,1704235,1156062
399,1005850,1480654,1005850
400,1171556,1747044,1171556
401,2961849,3010501,2961849
402,3008145,3056433,3008145
403,2939729,2983409,2939729
404,2950058,2992551,2950058
405,2853326,2889527,2853326
406,2981427,3031757,2981427
407,2953267,2993453,2953267
408,2950207,3002418,2950207
409,2966520,3006091,2966520
410,3060200,3117894,3060200
411,2893677,3024930,2893677
412,2908591,3124055,2908591
413,2935207,3095595,2935207
414,2926553,3125354,2926553
415,2795894,2971301,2795894
416,2927362,3089646,2927362
417,2917845,3087078,2917845
418,2905031,3088226,2905031
419,2910751,3119887,2910751
420,2970476,3121650,2970476
421,2663975,3436039,2663975
422,2630672,3499853,2630672
423,2491232,3226161,2491232
424,2476037,3224918,2476037
425,2527327,3364126,2527327
426,2446655,3055290,2446655
427,2493065,3187702,2493065
428,2715503,3458797,2715503
429,2436805,3056395,2436805
430,2554850,3331209,2554850
431,2008118,3277106,2008118
432,1700764,2939406,1700764
433,1835283,3162531,1835283
434,2020624,3493808,2020624
435,1929367,3180662,1929367
436,1563833,2511225,1563833
437,1706681,3079862,1706681
438,2074583,3592161,2074583
439,2667783,4563560,2667783
440,1844611,3232264,1844611
441,2965150,3021902,2965150
442,2957084,3007574,2957084
443,2969501,3023297,2969501
444,2945641,2992741,2945641
445,3052707,3108920,3052707
446,2998204,3045619,2998204
447,3030810,3080989,3030810
448,2974533,3014667,2974533
449,2973997,3014641,2973997
450,2962765,3006049,2962765
451,3066419,3299568,3066419
452,2957430,3208901,2957430
453,2965878,3223878,2965878
