Intance Number,Configuration,VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
342,60_1_500_2,1748725,1741699,1761284,1765778,1753194,1895584,1754461,1749453,1761284,1763594,1876908,1854195,1748341,1751913,1877671,1751913,1881187,1889510,1853471,1861326,1824322,1797295,1823948,1765612,1767371
344,60_1_500_4,1729437,1741167,1721428,1782629,1790862,1788019,1729437,1749187,1721428,1783436,1826854,1881488,1790447,1749960,1853110,1749960,1885491,1885491,1891486,1879874,1781267,1800621,1764558,1749308,1740668
346,60_1_500_6,1619581,1591834,1599887,1610741,1604348,1611976,1588885,1590867,1605729,1610741,1645581,1664558,1602863,1590238,1749902,1590238,1634999,1621437,1692603,1741387,1711152,1689556,1611496,1627201,1681992
347,60_1_500_7,1767132,1769639,1754712,1758549,1735763,1889205,1755490,1742561,1765242,1751549,1876066,1879113,1766198,1746892,1887150,1746892,1891876,1910694,1844885,1844885,1834875,1834875,1797141,1787242,1787242
348,60_1_500_8,1757417,1777603,1762971,1748258,1767002,1851342,1776485,1746512,1762208,1749116,1833254,1845831,1790092,1809761,1822200,1809761,1814771,1798924,1824329,1810056,1840003,1840731,1763035,1809583,1809187
350,60_1_500_10,1714476,1692003,1708701,1689094,1702433,1775912,1707134,1707134,1705336,1706149,1754887,1798726,1703438,1726293,1813128,1726293,1815204,1817024,1819519,1819519,1778895,1763145,1727519,1730044,1705249
351,60_1_1000_1,614597,651450,598998,596009,745364,980364,611131,612721,597844,615752,744282,851654,866049,736898,835236,736898,946698,843272,790055,742987,859134,848175,655281,711506,685948
354,60_1_1000_4,516677,507766,484713,484713,532027,827598,528812,550698,506187,500907,827140,729560,566959,648058,717546,648058,776556,814114,748986,750734,799463,782978,613019,584153,572183
355,60_1_1000_5,469846,473724,476883,482989,491984,609266,566030,545138,506011,502170,684990,662511,589461,557184,676384,557184,646837,630336,724973,761173,676128,637710,553518,673603,626972
358,60_1_1000_8,732397,598986,650584,682219,771413,729032,765127,619165,680524,659493,824033,786057,712638,725336,800413,725336,673332,673332,891424,882519,793036,734509,661238,653628,658579
359,60_1_1000_9,507744,497356,507822,515161,535400,601179,494697,497356,494658,499701,804530,735315,581844,574303,724068,574303,610115,610115,839416,839416,782241,746077,607117,641713,593611
488,100_1_20_8,4714967,4714967,4716664,4716664,4716629,4716168,4715682,4715682,4716664,4716664,4721268,4720063,4716538,4716538,4772576,4716538,4725511,4725511,4719545,4719545,4719440,4719440,4715828,4718924,4718924
489,100_1_20_9,4925868,4925868,4926864,4926864,4927110,4927488,4926132,4926132,4926864,4926864,4929984,4929984,4927477,4927477,4982878,4927477,4930740,4930740,4930344,4930344,4932376,4932376,4928465,4930130,4930130
491,100_1_100_1,4453206,4455303,4468435,4459325,4471138,4452719,4450808,4461059,4468435,4459325,4484165,4480612,4451759,4453364,4564902,4453364,4498396,4505781,4490572,4490572,4490172,4489540,4458489,4482745,4482745
492,100_1_100_2,4600362,4598944,4599868,4599394,4603847,4605696,4602171,4598378,4602808,4599394,4618415,4621769,4603683,4606462,4775365,4606462,4640820,4642261,4619016,4623288,4621969,4622573,4623479,4640898,4629527
495,100_1_100_5,4501163,4503147,4508076,4507202,4506789,4525733,4502440,4502651,4508076,4507202,4526481,4531543,4514023,4508199,4655330,4508199,4532629,4536496,4532350,4543621,4524723,4524195,4505173,4528757,4529191
496,100_1_100_6,4196531,4196456,4207437,4202895,4198631,4219569,4197077,4197077,4207437,4202753,4226671,4220304,4209473,4202722,4299011,4202722,4228556,4224264,4229551,4232326,4217215,4221536,4203130,4221114,4216381
498,100_1_100_8,4566353,4565042,4567585,4567585,4566575,4591831,4565986,4565960,4567585,4567585,4602227,4595849,4570423,4577412,4702971,4577412,4601937,4601937,4597387,4597387,4592589,4597207,4592148,4597781,4593794
502,100_1_500_2,2934333,2919107,2926015,2909996,2928464,3096817,2929595,2919107,2926015,2909996,3087027,3123799,2939979,2924634,3153751,2924634,3173209,3175150,3081529,3030225,3046428,3032152,3046366,2965368,2950040
503,100_1_500_3,2846323,2840685,2865884,2855897,2845960,3062351,2850250,2839606,2865884,2860897,2923748,2907903,2849868,2849118,2969049,2849118,3002046,2993494,2959001,2983616,2940886,2949678,2929975,2895140,2889414
504,100_1_500_4,2866895,2845052,2866838,2853413,2858883,2978731,2871532,2858072,2877264,2845646,3138163,3101747,2894087,2914748,3025840,2914748,3033470,3033470,3026994,3049149,3013635,3013778,2948430,3043588,2953131
508,100_1_500_8,2792674,2789138,2801234,2797925,2827996,2928727,2796834,2789156,2801234,2801589,3014169,2977874,2792303,2787158,2966643,2787158,3105789,3084773,2928767,2935438,2982377,2987991,2886083,2873446,2876492
509,100_1_500_9,2672889,2668579,2715941,2686276,2693666,2831786,2674362,2668660,2721488,2684479,2940848,2829913,2786731,2756913,2871924,2756913,2798129,2802887,2914612,2883129,2888924,2872452,2700001,2741133,2769120
510,100_1_500_10,2935084,2935457,2932387,2929687,2949868,3230187,2935084,2942036,2943288,2940588,3153444,3022751,2957688,2951391,3161750,2951391,3197242,3204953,3031789,3044326,3080272,3077392,3033793,3009422,3011839
511,100_1_1000_1,820413,747093,765156,871863,791965,1276287,838094,856735,805916,869715,907083,923585,927864,927673,950832,927673,1192623,1192623,1076129,1076129,1087885,1101940,847553,840582,840582
512,100_1_1000_2,1005534,1057571,1027640,1042361,1091249,1454532,1028634,1126579,1025674,1125472,1256696,1266519,1137636,1262286,1252185,1252185,1647784,1647784,1172627,1201604,1391659,1330280,1100854,1267770,1159952
513,100_1_1000_3,900036,866494,849781,830128,903688,1020818,910667,871435,848886,869937,1118541,1117195,1066169,964797,1143078,964797,1093652,1087246,1239383,1239383,1174377,1173299,890216,865833,865833
514,100_1_1000_4,668853,699171,653527,655761,747147,958139,666758,731325,732944,683948,702963,749910,837999,802869,1010211,802869,786591,759306,1007251,968087,1024265,1072057,724600,764219,812374
517,100_1_1000_7,850266,900300,840792,840792,927826,1272989,874413,871682,838174,835505,1056773,1143074,904263,904263,1088558,904263,1579053,1579053,1099649,1099649,1211663,1215599,1005814,910601,907441
518,100_1_1000_8,887751,912896,924338,913674,1086093,1628277,1006787,988187,983194,933099,1009516,1067317,1049241,1042844,1017289,1017289,1384010,1311403,1175129,1177575,1110847,1132873,1020794,990513,1022089
519,100_1_1000_9,1011783,846542,926613,832389,960375,1121781,975539,878847,916556,841378,982561,1040227,1109347,1063042,1104898,1063042,1004829,1007652,1262499,1082222,1259712,1190446,927415,1012292,967133
