RCMC,,RCWMC,,WPCM-1,,WPCM-2,,UPCM,,WUPCM1-TCM,,WUPCM2-TCM,,MGMM,,RCSPCM,,VAM,,KSAM,,RAM,,MDM,,SDM,,MT,,JHM,,IVAM,
TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM-MT,TOCM-MT,TCM,TOCM,TCM,TOCM
1,1,1,1,23,24,15,1,15,1,20,17,1,1,14,1,29,27,20,17,31,34,1,1,1,1,26,25,29,27,32,32,20,17
1,1,1,1,26,24,15,13,15,13,20,17,1,1,1,1,29,29,20,17,27,27,1,1,1,1,23,25,29,29,33,33,20,17
1,1,1,1,24,23,1,1,14,1,19,15,1,1,18,22,25,27,19,15,31,34,1,1,1,1,30,29,25,27,32,32,19,15
1,1,1,1,26,23,1,1,1,1,20,17,1,1,15,15,27,27,20,17,31,34,1,1,1,1,25,24,27,27,32,32,20,17
1,1,1,1,25,24,1,1,15,1,19,16,1,1,22,1,27,27,19,16,33,33,1,1,1,1,26,23,27,27,31,31,19,16
1,1,1,1,13,13,31,15,31,15,31,31,1,1,1,1,23,23,19,19,29,29,1,1,1,1,17,17,23,23,27,27,19,19
1,1,1,1,15,15,33,21,33,21,23,23,1,1,1,1,17,17,23,23,23,23,1,1,1,1,13,14,17,17,23,23,23,23
1,1,1,1,15,13,21,33,21,33,21,21,1,1,1,1,17,17,21,21,21,21,1,1,1,1,16,14,17,17,21,21,21,21
1,1,1,1,21,21,23,19,23,20,23,23,1,1,1,1,13,13,23,23,23,23,1,1,1,1,13,13,13,13,23,23,23,23
1,1,1,1,13,13,25,21,25,21,27,27,1,1,1,1,17,17,27,27,34,33,1,1,1,1,16,15,17,17,23,23,27,27
1,1,1,1,15,15,23,13,23,13,23,23,1,1,1,1,19,19,23,23,23,23,1,1,1,1,17,17,19,19,23,23,23,23
1,1,1,1,29,29,13,23,13,24,13,13,1,1,1,1,13,13,25,25,31,31,1,1,1,1,13,13,13,13,31,31,25,25
1,1,1,1,13,13,31,15,31,15,33,33,1,1,1,1,17,20,23,23,30,27,1,1,1,1,19,22,17,20,28,28,23,23
1,1,1,1,13,13,21,33,21,33,21,21,1,1,1,1,15,15,21,21,21,21,1,1,1,1,15,15,15,15,21,21,21,21
1,1,1,1,29,29,15,13,15,14,18,18,1,1,1,1,18,18,25,25,34,33,1,1,1,1,18,17,18,18,31,31,25,25
1,1,1,1,18,18,15,13,15,13,29,29,1,1,1,1,20,22,29,29,27,26,1,1,1,1,17,28,20,22,24,24,29,29
1,1,1,1,23,23,15,13,16,14,26,26,1,1,1,1,17,17,31,31,25,30,1,1,1,1,17,17,17,17,28,28,31,31
1,1,1,1,21,22,15,13,15,14,29,29,1,1,1,1,17,17,25,25,34,33,1,1,1,1,23,23,17,17,31,31,25,25
1,1,1,1,23,23,15,13,15,13,25,25,1,1,1,1,17,17,25,25,34,31,1,1,1,1,17,17,17,17,32,32,25,25
1,1,1,1,29,29,15,13,15,13,31,31,1,1,1,1,19,19,23,23,28,27,1,1,1,1,18,17,19,19,33,33,23,23
1,1,1,1,17,17,15,13,16,14,29,29,1,1,1,1,19,19,29,29,19,19,1,1,1,1,19,19,19,19,19,19,29,29
1,1,1,1,17,17,15,13,15,13,29,29,1,1,1,1,27,25,19,19,31,32,1,1,1,1,23,23,27,25,33,33,19,19
1,1,1,1,27,27,15,13,15,14,29,29,1,1,1,1,21,21,17,17,31,31,1,1,1,1,21,21,21,21,31,31,17,17
1,1,1,1,21,21,15,13,15,13,29,29,1,1,1,1,17,17,29,29,25,26,1,1,1,1,24,21,17,17,27,27,29,29
1,1,1,1,23,23,15,13,16,13,29,29,1,1,1,1,19,19,25,25,34,31,1,1,1,1,17,17,19,19,32,32,25,25
1,1,1,1,29,29,15,13,15,13,26,18,1,1,1,1,22,22,26,18,31,31,1,1,1,1,21,17,22,22,31,31,26,18
1,1,1,1,30,25,15,12,15,12,21,17,1,1,11,14,26,26,21,17,31,31,1,1,1,1,24,20,26,26,31,31,21,17
1,1,1,1,25,23,15,1,15,1,30,17,1,1,13,14,26,26,21,17,33,33,1,1,1,1,24,20,26,26,31,31,21,17
1,1,1,1,25,25,1,1,14,1,21,17,1,1,15,16,30,30,21,17,29,34,1,1,1,1,24,20,30,30,27,27,21,17
1,1,1,1,29,29,15,1,15,1,20,17,1,1,1,1,24,24,20,17,31,32,1,1,1,1,28,23,24,24,33,33,20,17
1,1,1,1,29,29,1,1,14,1,26,18,1,1,15,16,22,22,26,18,31,31,1,1,1,1,21,17,22,22,31,31,26,18
1,1,1,1,25,25,1,1,1,1,22,17,1,1,1,16,27,27,22,17,31,32,1,1,1,1,21,20,27,27,33,33,22,17
1,1,1,1,29,30,15,13,15,13,21,17,1,1,1,1,24,27,21,17,30,30,1,1,1,1,26,20,24,27,30,30,21,17
1,1,1,1,25,25,13,13,13,13,27,17,1,1,1,1,21,21,27,17,31,34,1,1,1,1,30,20,21,21,32,32,27,17
1,1,1,1,29,29,13,11,13,11,21,17,1,1,15,16,26,24,21,17,31,31,1,1,1,1,28,20,26,24,31,31,21,17
1,1,1,1,24,23,1,1,1,1,20,16,1,1,15,19,31,29,20,16,27,27,1,1,1,1,26,25,31,29,33,33,20,16
1,1,1,1,30,25,13,1,13,1,15,18,1,1,22,21,26,26,15,18,33,34,1,1,1,1,24,23,26,26,31,31,15,18
1,1,1,1,25,25,12,11,12,12,20,17,1,1,16,15,29,29,20,17,27,27,1,1,1,1,24,23,29,29,33,33,20,17
1,1,1,1,24,23,12,1,14,12,17,17,1,1,21,22,27,27,17,17,33,33,1,1,1,1,26,25,27,27,31,31,15,15
1,1,1,1,25,23,1,1,1,1,20,17,1,1,15,16,27,27,20,17,31,31,1,1,1,1,26,24,27,27,31,31,22,19
1,1,1,1,24,23,1,1,1,1,18,15,1,1,21,22,27,27,18,15,31,31,1,1,1,1,26,25,27,27,31,31,18,15
1,1,1,1,24,23,1,1,1,1,20,15,1,1,18,18,27,29,20,15,31,31,1,1,1,1,26,25,27,29,31,31,20,15
1,1,1,1,26,23,1,1,1,1,20,17,1,1,15,16,29,27,20,17,31,31,1,1,1,1,24,25,29,27,33,33,20,17
1,1,1,1,26,25,1,1,1,1,19,16,1,1,15,22,27,29,19,16,31,32,1,1,1,1,23,24,27,29,33,33,19,16
1,1,1,1,26,25,1,1,1,1,20,16,1,1,15,19,27,29,20,16,31,31,1,1,1,1,24,23,27,29,31,31,20,16
25,25,13,16,11,14,18,15,18,12,2,4,24,23,28,27,9,9,3,1,33,34,17,22,29,29,20,21,5,5,31,31,8,7
16,16,24,22,20,8,2,5,10,7,13,25,3,4,18,26,14,14,1,19,34,33,29,29,31,32,21,23,11,11,27,27,6,9
21,21,11,20,9,9,3,3,3,3,14,14,12,12,29,29,16,16,1,1,34,33,31,31,25,25,23,23,18,18,27,27,7,7
22,22,21,24,19,19,10,10,6,5,27,25,17,17,4,12,13,13,15,3,34,33,7,7,30,26,29,28,1,1,31,31,16,9
16,16,6,6,5,3,26,28,26,28,19,22,23,23,2,1,8,13,9,10,34,33,12,15,20,20,25,32,18,13,30,30,11,4
24,24,13,13,22,8,11,5,11,5,4,7,9,9,23,15,20,18,2,1,34,33,30,26,31,31,16,27,20,18,28,28,17,3
27,24,8,8,2,1,19,17,19,17,6,23,13,13,15,12,3,7,16,11,34,33,30,10,28,28,21,26,3,5,31,31,25,22
28,28,13,20,16,10,11,8,12,8,15,14,17,3,21,21,18,18,1,2,34,33,23,32,30,30,27,26,6,6,24,24,4,4
13,13,7,7,11,11,3,3,3,3,9,9,19,19,25,25,21,21,1,1,34,33,31,31,29,29,23,23,17,17,27,27,15,15
17,17,9,9,27,8,11,25,11,25,13,24,4,4,15,3,30,21,1,1,34,33,14,28,6,6,32,31,29,21,19,19,23,16
2,2,23,23,26,28,15,21,25,21,13,18,29,29,11,1,6,8,17,12,34,33,32,31,4,4,27,16,7,8,19,19,10,14
7,7,4,4,25,18,14,23,14,23,26,28,1,1,6,3,29,31,13,17,34,33,12,9,10,10,27,21,29,31,19,19,22,16
24,25,3,3,27,26,6,8,6,8,20,29,1,1,21,15,23,11,5,10,34,32,18,22,16,16,28,33,19,11,30,30,13,14
20,18,14,4,10,5,8,6,8,6,11,3,29,29,24,19,25,25,16,2,34,33,17,23,21,22,28,27,12,12,31,31,15,1
30,27,28,17,18,29,13,1,13,1,7,6,15,15,10,10,25,25,4,12,34,33,21,21,24,20,19,23,8,8,31,31,3,5
31,21,17,29,19,24,13,3,13,3,22,12,8,8,18,10,5,5,23,7,34,33,15,16,25,28,32,30,1,1,26,26,20,11
12,14,7,7,15,9,20,21,19,21,28,25,10,10,1,2,23,26,13,5,34,33,3,4,17,17,30,29,23,26,31,31,16,6
27,27,12,6,13,7,8,10,8,10,2,16,20,20,17,18,22,22,4,3,34,33,19,24,29,26,25,30,14,14,31,31,1,5
10,10,8,8,3,13,20,6,26,12,23,21,18,18,5,22,24,14,4,7,34,33,27,28,16,16,30,29,24,14,31,31,1,1
15,11,9,9,14,13,7,6,7,2,22,12,31,31,29,27,19,19,1,3,34,33,21,18,23,23,28,30,16,16,25,25,5,3
27,29,9,1,10,13,14,6,14,11,12,8,30,30,5,18,19,19,4,3,28,32,34,33,23,23,26,25,16,16,21,21,7,2
26,33,2,7,13,13,9,3,6,5,10,11,31,31,15,12,18,20,1,4,21,34,29,28,30,27,22,23,16,16,24,24,19,8
21,34,10,8,22,5,24,3,24,3,19,2,14,17,15,9,20,13,16,6,32,30,31,18,26,33,23,29,11,11,27,27,7,1
25,29,18,21,17,3,4,1,15,1,9,22,19,19,16,10,7,7,11,12,26,33,24,22,32,34,30,31,5,5,27,27,14,12
31,23,13,24,20,22,15,12,15,10,19,1,17,17,26,9,11,8,4,6,25,28,14,21,29,29,27,32,2,2,33,33,4,6
30,30,1,1,3,8,9,17,12,17,13,22,4,4,6,20,28,10,14,14,21,32,25,19,26,26,24,23,28,10,33,33,7,14
22,22,6,6,18,24,4,17,4,12,3,19,1,1,14,11,25,31,8,8,33,34,15,15,20,20,27,28,26,32,29,29,8,13
29,30,18,19,14,28,12,11,16,10,21,17,1,1,3,20,6,8,15,22,4,32,31,27,24,24,26,23,6,8,33,33,5,13
22,23,24,24,6,21,5,4,3,2,8,20,19,14,12,11,15,17,7,9,16,30,26,31,32,32,34,29,13,17,27,27,1,9
22,21,15,11,14,6,4,8,4,2,7,3,33,34,19,1,20,16,10,12,27,28,29,23,24,32,25,26,16,16,30,30,9,13
15,15,22,22,14,17,21,18,1,6,4,4,12,12,7,9,33,31,2,24,30,28,25,25,10,10,27,29,34,32,19,19,2,8
15,14,26,23,21,12,24,4,3,2,22,13,29,29,1,9,5,5,10,18,16,25,28,31,17,20,27,32,5,5,33,33,10,18
29,29,21,25,6,3,27,17,24,12,18,7,13,13,11,2,22,8,4,15,1,10,33,33,19,19,26,28,22,8,31,31,4,15
