Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
324,60_1_20_4,2810085,2809545,2812054,2813330,2811244,2807723,2812136,2810902,2812141,2813330,2808753,2808753,2807728,2807728,2833394,2807728,2809936,2809521,2808780,2808780,2812719,2812317,2812743,2809719,2808638
328,60_1_20_8,2903248,2903248,2905571,2903949,2905366,2902491,2904014,2904174,2905571,2903949,2905652,2905652,2902992,2902992,2940809,2902992,2906114,2905793,2906894,2906894,2905959,2906583,2904150,2903690,2904075
330,60_1_20_10,2889803,2889664,2889270,2890496,2890725,2887821,2889593,2889553,2889270,2890496,2892277,2892277,2888490,2888490,2918229,2888490,2890869,2890010,2889884,2889884,2891931,2892173,2890895,2889540,2888944
331,60_1_100_1,2754685,2754226,2758344,2756325,2765546,2758200,2752866,2750541,2757790,2756325,2771440,2771440,2769083,2769083,2822242,2769083,2764651,2777487,2770760,2770760,2764542,2770048,2761798,2764213,2756593
332,60_1_100_2,2737775,2737676,2739033,2737932,2738277,2739815,2737602,2736461,2739033,2737932,2756142,2753651,2740232,2740232,2802253,2740232,2756810,2750815,2753373,2753373,2755198,2761340,2749643,2743318,2742152
333,60_1_100_3,2708757,2708677,2706602,2710397,2718394,2707700,2705723,2707447,2706602,2710397,2722977,2722977,2708820,2708820,2808711,2708820,2730122,2722585,2728594,2728594,2722859,2730010,2718235,2715931,2709218
340,60_1_100_10,2642373,2642661,2641317,2640886,2644830,2641479,2643882,2643787,2642113,2640448,2647071,2647071,2640470,2640470,2720195,2640470,2654166,2645335,2647183,2647183,2659399,2650333,2643228,2654008,2644339
341,60_1_500_1,1778631,1792741,1837462,1783234,1828780,1804835,1778631,1796085,1824455,1808391,1804501,1810767,1781522,1781522,1865227,1781522,1846463,1832215,1824471,1824471,1806867,1800197,1835470,1807312,1814824
343,60_1_500_3,1812443,1812443,1823930,1817840,1867992,1783886,1832846,1812976,1819740,1801538,1828905,1828905,1806969,1807660,1919160,1807660,1850904,1846833,1820050,1820050,1956816,1924212,1883272,1818077,1837714
345,60_1_500_5,1728145,1728565,1738029,1733417,1789777,1710246,1727945,1728365,1744996,1721860,1764500,1760828,1719675,1719675,1835260,1719675,1735475,1739345,1753032,1753032,1812848,1812848,1787932,1714040,1765735
349,60_1_500_9,1847291,1844548,1880419,1897505,1883774,1817729,1847291,1851943,1874305,1879573,1866462,1866462,1837790,1836768,1913015,1836768,1868761,1871661,1889355,1889355,1948363,1910759,1899367,1874952,1854283
352,60_1_1000_2,537271,508645,540283,528895,564216,717652,531835,549285,544429,585998,628165,628165,601655,601655,765150,601655,682569,682569,610502,610502,776781,773650,653002,586270,585815
353,60_1_1000_3,726830,756340,754181,763854,764778,802943,720566,720566,715580,718105,860103,880298,804143,830591,801817,801817,888398,888398,818337,818337,903468,944654,737198,711928,710884
356,60_1_1000_6,604612,553896,578044,526928,527700,605337,564400,564400,527864,535579,650661,651103,632235,631416,804657,631416,644128,644128,603140,603140,817118,851972,799730,573801,597034
357,60_1_1000_7,685799,722205,710718,719619,724928,716695,745382,731720,725446,718914,795956,795956,728036,740711,838167,740711,826037,826037,697776,697776,786371,789970,789957,725327,721439
360,60_1_1000_10,541132,516176,581495,510421,564267,650277,529400,521964,545195,572040,741602,741602,625812,625812,606649,606649,764480,764480,775534,775534,666826,671704,539354,552373,557951
361,60_2_20_1,2895246,2895246,2892480,2892389,2894660,2884032,2895008,2894748,2892480,2892389,2884032,2884032,2884032,2884032,2921904,2884032,2884032,2884032,2884032,2884032,2894916,2896450,2895062,2884032,2884032
362,60_2_20_2,2982591,2982510,2984998,2984998,2983595,2972073,2982200,2982510,2984998,2984998,2972073,2972073,2972073,2972073,3003469,2972073,2972073,2972073,2972073,2972073,2983649,2982622,2982502,2972073,2972073
363,60_2_20_3,2881276,2881276,2885597,2884872,2883858,2868283,2881276,2880906,2885597,2884872,2868283,2868283,2868283,2868283,2903833,2868283,2868283,2868283,2868283,2868283,2875857,2879544,2875267,2868283,2868283
364,60_2_20_4,2937994,2937994,2938411,2938675,2939215,2925454,2938659,2938659,2938411,2938675,2925454,2925454,2925454,2925454,2968897,2925454,2925454,2925454,2925454,2925454,2936909,2937056,2936899,2925454,2925454
365,60_2_20_5,2871031,2871031,2872348,2871718,2871427,2859675,2871598,2871598,2872348,2871718,2859833,2859833,2859675,2859675,2896534,2859675,2859993,2859781,2859833,2859833,2867251,2869768,2870030,2859813,2859813
366,60_2_20_6,2950678,2950678,2951356,2951356,2950327,2940585,2950286,2950286,2951356,2951356,2940585,2940585,2940585,2940585,2981563,2940585,2940585,2940585,2940585,2940585,2948637,2948659,2950821,2940585,2940585
367,60_2_20_7,2913825,2913812,2916993,2916993,2912625,2905788,2913825,2913772,2916993,2916993,2905788,2905788,2905788,2905788,2942247,2905788,2905788,2905788,2905788,2905788,2915819,2915079,2916103,2905788,2905788
368,60_2_20_8,2893373,2893373,2895048,2895048,2894029,2882032,2893335,2893213,2895048,2895048,2882032,2882032,2882032,2882032,2922430,2882032,2882032,2882032,2882032,2882032,2893659,2895002,2894051,2882032,2882032
369,60_2_20_9,2922953,2923112,2922597,2922637,2925563,2913006,2923112,2923112,2922915,2922757,2913006,2913006,2913006,2913006,2963389,2913006,2913006,2913006,2913006,2913006,2920107,2924442,2921411,2913006,2913006
370,60_2_20_10,2989682,2989682,2988178,2988178,2988231,2976458,2989237,2989682,2988178,2988178,2976458,2976458,2976458,2976458,3021246,2976458,2976458,2976458,2976458,2976458,2983587,2984322,2984640,2976458,2976458
371,60_2_100_1,2830421,2830421,2838722,2832950,2848115,2794328,2830421,2830421,2851590,2831272,2794328,2794328,2794328,2794328,2890498,2794328,2794328,2794328,2794328,2794328,2851142,2850875,2856099,2794328,2794328
372,60_2_100_2,2876843,2876033,2892730,2870446,2882914,2824007,2880929,2879822,2880561,2868446,2824007,2824007,2824007,2824007,2945757,2824007,2824007,2824007,2824007,2824007,2876645,2881578,2880781,2824007,2824007
373,60_2_100_3,2788507,2787472,2785996,2776436,2788749,2747081,2787280,2791082,2784012,2776944,2747081,2747081,2747081,2747081,2883111,2747081,2747081,2747081,2747081,2747081,2801148,2802549,2792450,2747081,2747081
374,60_2_100_4,2787464,2787464,2833210,2814755,2802672,2762099,2786649,2786298,2834688,2812937,2764454,2764454,2762119,2762119,2940098,2762119,2763795,2763631,2764643,2764643,2830541,2842192,2811337,2763063,2763063
375,60_2_100_5,2817108,2813572,2811905,2798458,2826592,2761113,2817108,2813572,2808847,2791219,2761113,2761113,2761113,2761113,2832795,2761113,2761113,2761113,2761113,2761113,2802184,2802186,2811323,2761113,2761113
376,60_2_100_6,2721004,2721004,2727486,2724586,2715617,2677858,2721004,2721004,2727486,2724586,2678082,2678082,2677858,2677858,2817352,2677858,2678099,2678099,2678450,2678450,2743973,2749986,2729288,2678099,2678099
377,60_2_100_7,2800609,2800609,2815564,2801258,2805564,2751188,2800609,2800609,2815796,2801258,2751188,2751188,2751188,2751188,2899170,2751188,2751188,2751188,2751188,2751188,2822827,2830186,2792233,2751188,2751188
378,60_2_100_8,2712609,2712609,2730657,2721416,2719154,2676662,2712609,2712609,2733184,2721218,2676662,2676662,2676662,2676662,2765111,2676662,2676662,2676662,2676662,2676662,2739906,2741358,2733027,2676662,2676662
379,60_2_100_9,2750446,2751448,2758080,2763999,2747717,2709344,2748583,2747957,2757987,2764395,2709344,2709344,2709344,2709344,2816903,2709344,2709344,2709344,2709344,2709344,2769907,2770271,2763032,2709344,2709344
380,60_2_100_10,2723053,2724839,2736680,2726285,2728153,2667545,2723053,2724839,2736680,2715210,2667545,2667545,2667545,2667545,2809737,2667545,2667545,2667545,2667545,2667545,2720454,2726682,2731501,2667545,2667545
381,60_2_500_1,2066615,1964366,1819413,1802857,2049541,1792361,2064701,1993441,1814510,1802857,1792361,1792361,1792361,1792361,2075626,1792361,1792361,1792361,1792361,1792361,2105129,2033482,2070099,1814647,1814647
382,60_2_500_2,1988177,2018258,1870523,1838035,2006807,1817955,1988177,2011114,1863016,1831841,1833511,1833511,1817955,1817955,2132002,1817955,1822352,1822352,1832191,1832191,2188279,2117284,2049268,1820664,1835138
383,60_2_500_3,2059239,1958644,1844952,1814858,2091861,1803070,2042984,1963264,1840720,1814858,1803300,1803300,1803070,1803070,2065553,1803070,1803300,1803070,1803150,1803150,2162736,2089801,2068329,1804390,1807896
384,60_2_500_4,1916871,1941179,1774994,1768185,1931283,1755720,1916871,1945176,1774994,1766403,1755720,1755720,1755720,1755720,2099481,1755720,1755720,1755720,1755720,1755720,1971682,1909436,2017667,1758734,1778198
385,60_2_500_5,2040975,2042926,1906484,1859936,2052752,1842080,2019332,2042926,1881142,1855542,1842080,1842080,1842080,1842080,2152561,1842080,1842080,1842080,1842080,1842080,2057409,2031281,2071343,1853776,1858030
386,60_2_500_6,1972287,1983516,1837599,1807919,1985189,1799955,1972287,1972971,1833501,1807919,1799955,1799955,1799955,1799955,2062246,1799955,1799955,1799955,1799955,1799955,2128725,2054691,2065930,1811547,1815263
387,60_2_500_7,2042594,1983335,1879377,1844958,2078836,1825931,2027860,2019785,1876539,1836599,1825931,1825931,1825931,1825931,2122359,1825931,1825931,1825931,1825931,1825931,2084797,2042107,2079768,1835128,1836876
388,60_2_500_8,1912622,1855200,1787910,1741006,1917489,1728210,1910893,1855200,1782009,1741006,1728210,1728210,1728210,1728210,1989002,1728210,1728210,1728210,1728210,1728210,1977509,1876964,1935263,1728210,1728210
389,60_2_500_9,1916722,1867680,1745801,1718688,1918957,1705146,1917040,1855902,1741270,1712973,1705146,1705146,1705146,1705146,2081993,1705146,1705146,1705146,1705146,1705146,1999908,1918997,1937576,1705146,1708695
390,60_2_500_10,1909660,1839310,1781111,1745043,1920892,1721337,1907118,1838936,1767305,1740899,1721337,1721337,1721337,1721337,1989568,1721337,1721337,1721337,1721337,1721337,1991508,1942918,1964101,1733028,1737975
391,60_2_1000_1,551160,524568,511242,511242,551160,510428,548664,523907,511242,511242,510428,510428,510428,510428,1081047,510428,510428,510428,510428,510428,871866,777960,931197,521616,528095
392,60_2_1000_2,545463,479831,469536,469536,545463,469173,487471,471345,469536,469173,469173,469173,469173,469173,971689,469173,469173,469173,469173,469173,827624,821487,936806,499024,505008
393,60_2_1000_3,459995,457696,457696,455986,459995,455784,457295,457696,456616,455986,455784,455784,455784,455784,807676,455784,455784,455784,455784,455784,950053,804964,982744,482095,481794
394,60_2_1000_4,562196,540619,536122,533286,562196,529862,545642,540149,530920,531066,529862,529862,529862,529862,1063711,529862,529862,529862,529862,529862,944894,1009308,1044694,529862,529862
395,60_2_1000_5,544337,539066,522212,522212,544337,522000,539382,531277,522212,522212,522000,522000,522000,522000,1263539,522000,522000,522000,522000,522000,991878,972617,938340,552094,587669
396,60_2_1000_6,573020,564508,559411,559411,573020,558852,565298,562231,559411,559209,558852,558852,558852,558852,1165099,558852,558852,558852,558852,558852,914504,704058,1004644,580254,581713
397,60_2_1000_7,531975,518527,519209,515188,531975,513312,525522,516491,515494,513688,513312,513312,513312,513312,1157428,513312,513312,513312,513312,513312,1002302,913297,977638,556507,558007
398,60_2_1000_8,550570,546046,535392,535392,550570,532977,545908,544408,535392,533712,532977,532977,532977,532977,1167506,532977,532977,532977,532977,532977,1105100,904394,1053762,675928,644797
399,60_2_1000_9,532558,532934,524566,520526,532558,517498,531193,527474,523270,518281,517498,517498,517498,517498,937368,517498,517498,517498,517498,517498,1015888,962819,950149,606776,531630
400,60_2_1000_10,493085,489120,474944,474944,493085,473732,494297,481478,473732,473732,473732,473732,473732,473732,1130511,473732,473732,473732,473732,473732,1086061,849707,1187470,530463,527225
401,60_5_20_1,2961019,2961019,2961019,2954001,2962070,2931457,2961019,2961019,2960439,2953161,2931457,2931457,2931457,2931457,2967964,2931457,2931457,2931457,2931457,2931457,2951427,2954088,2951872,2931457,2931457
402,60_5_20_2,2991942,2991942,2994396,2987283,2996002,2962243,2991942,2991942,2994396,2984733,2962243,2962243,2962243,2962243,3009509,2962243,2962243,2962243,2962243,2962243,2986920,2991170,2983906,2962243,2962243
403,60_5_20_3,2918379,2918398,2925046,2920012,2928695,2897035,2918379,2918379,2925046,2919159,2897035,2897035,2897035,2897035,2940211,2897035,2897035,2897035,2897035,2897035,2920441,2920669,2920545,2897035,2897035
404,60_5_20_4,2925975,2925975,2934792,2930204,2935263,2906335,2925975,2925975,2933109,2930204,2906335,2906335,2906335,2906335,2949443,2906335,2906335,2906335,2906335,2906335,2925415,2925066,2925066,2906335,2906335
405,60_5_20_5,2836364,2836364,2842981,2838405,2842849,2817125,2836364,2836364,2842357,2837991,2817125,2817125,2817125,2817125,2855405,2817125,2817125,2817125,2817125,2817125,2839623,2839152,2839479,2817125,2817125
406,60_5_20_6,2964008,2964008,2958827,2953144,2959615,2928269,2964008,2964008,2958827,2953144,2928269,2928269,2928269,2928269,2980688,2928269,2928269,2928269,2928269,2928269,2955040,2954076,2953289,2928269,2928269
407,60_5_20_7,2933996,2933800,2933471,2929877,2931381,2910339,2934018,2934008,2933471,2929091,2910339,2910339,2910339,2910339,2954680,2910339,2910339,2910339,2910339,2910339,2933655,2932065,2931437,2910339,2910339
408,60_5_20_8,2934723,2934723,2936686,2930645,2937690,2902026,2934723,2934723,2933057,2928714,2902026,2902026,2902026,2902026,2951839,2902026,2902026,2902026,2902026,2902026,2927572,2927064,2927048,2902026,2902026
409,60_5_20_9,2956988,2957115,2948165,2943861,2957103,2922479,2957022,2957115,2948319,2943861,2922479,2922479,2922479,2922479,2966520,2922479,2922479,2922479,2922479,2922479,2945726,2946247,2946517,2922479,2922479
410,60_5_20_10,3031639,3031639,3035870,3035850,3046740,3005208,3031639,3031639,3035870,3035169,3005208,3005208,3005208,3005208,3057586,3005208,3005208,3005208,3005208,3005208,3023112,3027628,3026136,3005208,3005208
411,60_5_100_1,2791523,2791523,2728246,2702681,2830319,2693140,2791523,2791523,2719400,2699608,2693140,2693140,2693140,2693140,2923484,2693140,2693140,2693140,2693140,2693140,2832418,2822875,2826716,2693140,2693140
412,60_5_100_2,2907343,2907343,2762583,2745133,2898366,2734949,2907343,2907343,2768151,2743089,2734949,2734949,2734949,2734949,2952582,2734949,2734949,2734949,2734949,2734949,2865491,2885476,2862281,2734949,2734949
413,60_5_100_3,2865147,2865147,2775934,2754634,2909121,2742247,2865147,2865147,2772544,2754634,2742247,2742247,2742247,2742247,2948814,2742247,2742247,2742247,2742247,2742247,2905008,2909094,2857369,2742247,2742247
414,60_5_100_4,2869799,2869799,2745256,2729080,2863697,2715984,2869799,2869799,2743012,2725763,2715984,2715984,2715984,2715984,2953692,2715984,2715984,2715984,2715984,2715984,2854791,2854791,2846433,2715984,2715984
415,60_5_100_5,2778957,2778957,2669723,2654059,2778957,2645299,2778957,2778957,2669723,2654059,2645299,2645299,2645299,2645299,2811125,2645299,2645299,2645299,2645299,2645299,2774593,2783124,2793664,2645299,2645299
416,60_5_100_6,2884683,2884063,2767272,2748524,2838125,2736880,2884767,2884063,2767272,2748524,2736880,2736880,2736880,2736880,2948963,2736880,2736880,2736880,2736880,2736880,2883413,2871802,2850465,2736880,2736880
417,60_5_100_7,2849686,2849433,2753724,2719699,2854537,2713334,2849686,2849605,2743977,2719699,2713334,2713334,2713334,2713334,2921445,2713334,2713334,2713334,2713334,2713334,2865663,2858829,2844609,2713334,2713334
418,60_5_100_8,2849475,2849475,2764052,2750592,2856874,2736996,2849475,2849490,2760380,2748444,2736996,2736996,2736996,2736996,2926891,2736996,2736996,2736996,2736996,2736996,2843008,2860239,2866498,2736996,2736996
419,60_5_100_9,2827954,2827954,2758155,2730434,2846912,2717029,2827954,2827954,2756559,2730070,2717029,2717029,2717029,2717029,2920013,2717029,2717029,2717029,2717029,2717029,2831192,2832969,2819271,2717029,2717029
420,60_5_100_10,2936025,2936025,2802350,2781461,2936025,2773988,2936025,2936025,2802350,2781005,2773988,2773988,2773988,2773988,3007389,2773988,2773988,2773988,2773988,2773988,2920578,2894451,2891130,2773988,2773988
421,60_5_500_1,2410809,2253846,1852771,1851709,2410816,1850835,2410809,2193694,1852771,1851709,1850835,1850835,1850835,1850835,2626115,1850835,1850835,1850835,1850835,1850835,2273342,2085876,2439726,1850835,1850835
422,60_5_500_2,2359662,2053725,1791403,1787586,2325848,1786005,2353256,2043000,1791403,1787485,1786005,1786005,1786005,1786005,2645618,1786005,1786005,1786005,1786005,1786005,2329115,2129872,2306381,1786005,1792433
423,60_5_500_3,2291048,2071613,1780799,1779967,2410886,1779153,2287198,2072887,1780799,1779877,1779153,1779153,1779153,1779153,2500155,1779153,1779153,1779153,1779153,1779153,2246796,2226022,2412965,1779153,1782670
424,60_5_500_4,2358977,2152005,1756401,1755331,2359257,1754168,2358977,2152005,1755331,1754659,1754168,1754168,1754168,1754168,2476037,1754168,1754168,1754168,1754168,1754168,2141689,2023635,2330846,1754168,1755460
425,60_5_500_5,2180218,2002554,1700738,1699359,2267965,1697136,2180266,1983806,1700738,1698934,1697136,1697136,1697136,1697136,2527297,1697136,1697136,1697136,1697136,1697136,2195368,2022540,2323807,1697136,1708232
426,60_5_500_6,2347877,2176386,1775469,1773427,2353880,1770774,2347923,2176476,1773987,1772869,1770774,1770774,1770774,1770774,2428397,1770774,1770774,1770774,1770774,1770774,2130942,1959672,2328459,1773458,1787641
427,60_5_500_7,2293518,2137390,1830876,1827837,2298593,1824446,2293518,2137390,1830876,1827263,1824446,1824446,1824446,1824446,2488130,1824446,1824446,1824446,1824446,1824446,2419718,2125899,2326231,1827230,1839020
428,60_5_500_8,2350300,2018843,1785195,1780728,2386461,1779139,2350300,2018883,1783455,1780728,1779139,1779139,1779139,1779139,2680736,1779139,1779139,1779139,1779139,1779139,2245500,2028371,2204416,1782397,1803082
429,60_5_500_9,2320058,2064575,1727131,1723861,2320058,1722239,2320058,2049335,1725571,1723386,1722239,1722239,1722239,1722239,2391256,1722239,1722239,1722239,1722239,1722239,2153565,2073707,2332325,1726538,1745319
430,60_5_500_10,2202313,1984244,1761357,1756563,2402069,1756563,2202313,1984244,1761357,1756563,1756563,1756563,1756563,1756563,2543527,1756563,1756563,1756563,1756563,1756563,2225278,2017800,2299048,1762503,1768153
431,60_5_1000_1,539057,534506,526538,526458,539057,526458,539057,535242,526538,526458,526458,526458,526458,526458,1880272,526458,526458,526458,526458,526458,1116337,956317,1858136,547914,539834
432,60_5_1000_2,463737,452445,451279,450559,463737,450442,453890,452445,451279,450559,450442,450442,450442,450442,1694924,450442,450442,450442,450442,450442,901654,758746,1575793,512835,457954
433,60_5_1000_3,389954,387365,388819,386989,389954,386989,391116,387365,387958,386989,386989,386989,386989,386989,1808325,386989,386989,386989,386989,386989,861862,774238,1678790,416698,435892
434,60_5_1000_4,607259,603293,597510,597510,607259,597510,602373,600359,597510,597510,597510,597510,597510,597510,2030484,597510,597510,597510,597510,597510,1276196,924771,1880685,608972,617551
435,60_5_1000_5,581842,564061,549916,549310,581842,549188,567075,564061,550038,549310,549188,549188,549188,549188,1856314,549188,549188,549188,549188,549188,985322,802468,1565010,588302,581718
436,60_5_1000_6,518027,496903,491435,491055,518027,490887,507281,491499,491435,490887,490887,490887,490887,490887,1476113,490887,490887,490887,490887,490887,986286,772018,1701197,496960,510475
437,60_5_1000_7,492313,469169,456340,456340,492313,456340,478133,465873,456340,456340,456340,456340,456340,456340,1700810,456340,456340,456340,456340,456340,846459,959745,1682684,489245,472344
438,60_5_1000_8,676380,671023,655215,655027,676380,655027,675093,671023,655215,655027,655027,655027,655027,655027,2128612,655027,655027,655027,655027,655027,1018595,915368,1871249,675986,682832
439,60_5_1000_9,519935,513596,511196,511196,519935,510946,514703,513596,511196,511196,510946,510946,510946,510946,2537175,510946,510946,510946,510946,510946,1244681,902632,1481953,557441,562025
440,60_5_1000_10,555745,540738,531498,531498,555745,530774,555745,536138,531498,531290,530774,530774,530774,530774,1826241,530774,530774,530774,530774,530774,930231,949139,1736874,622478,603628
441,60_10_20_1,2959956,2959956,2937070,2919029,2962134,2909450,2959956,2959956,2937070,2918665,2909450,2909450,2909450,2909450,2965690,2909450,2909450,2909450,2909450,2909450,2948908,2954465,2948908,2909450,2909450
442,60_10_20_2,2957084,2957084,2933748,2915095,2961295,2906594,2957084,2957084,2933748,2915095,2906594,2906594,2906594,2906594,2957084,2906594,2906594,2906594,2906594,2906594,2949922,2937614,2949922,2906594,2906594
443,60_10_20_3,2969501,2969501,2941874,2926687,2959443,2915705,2969501,2969501,2941874,2926459,2915705,2915705,2915705,2915705,2969501,2915705,2915705,2915705,2915705,2915705,2942049,2942049,2945143,2915705,2915705
444,60_10_20_4,2943634,2943634,2922869,2908923,2945332,2897947,2943634,2943634,2921709,2908579,2897947,2897947,2897947,2897947,2945344,2897947,2897947,2897947,2897947,2897947,2929051,2929082,2930959,2897947,2897947
445,60_10_20_5,3052707,3052707,3022150,3006807,3045726,2996494,3052707,3052707,3019344,3004870,2996494,2996494,2996494,2996494,3052707,2996494,2996494,2996494,2996494,2996494,3029877,3029877,3034183,2996494,2996494
446,60_10_20_6,2998204,2998204,2975368,2960635,2997912,2950789,2998204,2998204,2971227,2959218,2950789,2950789,2950789,2950789,2998204,2950789,2950789,2950789,2950789,2950789,2995586,2995250,2996117,2950789,2950789
447,60_10_20_7,3030810,3030810,3011314,2994169,3030810,2980631,3030810,3030810,3005711,2990781,2980631,2980631,2980631,2980631,3030810,2980631,2980631,2980631,2980631,2980631,3026473,3026473,3026473,2980631,2980631
448,60_10_20_8,2970481,2970481,2957428,2939901,2981182,2927837,2970481,2970481,2956447,2939901,2927837,2927837,2927837,2927837,2972146,2927837,2927837,2927837,2927837,2927837,2966567,2966567,2967464,2927837,2927837
449,60_10_20_9,2973594,2973594,2960689,2945141,2979300,2934141,2973594,2973594,2960689,2944146,2934141,2934141,2934141,2934141,2978539,2934141,2934141,2934141,2934141,2934141,2975534,2979300,2975726,2934141,2934141
450,60_10_20_10,2957830,2957830,2933950,2920579,2962901,2911505,2957830,2957830,2933950,2920211,2911505,2911505,2911505,2911505,2962264,2911505,2911505,2911505,2911505,2911505,2951271,2951271,2953665,2911505,2911505
451,60_10_100_1,3043164,3043164,2846523,2837333,3067494,2832512,3043164,3043164,2844651,2836667,2832512,2832512,2832512,2832512,3059465,2832512,2832512,2832512,2832512,2832512,3036897,3037280,3067494,2832512,2832512
452,60_10_100_2,2948818,2948818,2715240,2709447,2948818,2705959,2948818,2948818,2715240,2709043,2705959,2705959,2705959,2705959,2957430,2705959,2705959,2705959,2705959,2705959,2913824,2896621,2913824,2705959,2705959
453,60_10_100_3,2965878,2965878,2721865,2713567,2965878,2707878,2965878,2965878,2720105,2712835,2707878,2707878,2707878,2707878,2965878,2707878,2707878,2707878,2707878,2707878,2870680,2870903,2877142,2707878,2707878
454,60_10_100_4,2986308,2986308,2829292,2821401,3064877,2818448,2986308,2986536,2829292,2820735,2818448,2818448,2818448,2818448,3001284,2818448,2818448,2818448,2818448,2818448,3010839,3005691,2980430,2818448,2818448
455,60_10_100_5,2923721,2923721,2716240,2709010,2923721,2704920,2923721,2923721,2715232,2709010,2704920,2704920,2704920,2704920,2930133,2704920,2704920,2704920,2704920,2704920,2888604,2884386,2870147,2704920,2704920
456,60_10_100_6,2967909,2967909,2771294,2762677,2967909,2760240,2967909,2967909,2771294,2762677,2760240,2760240,2760240,2760240,2967909,2760240,2760240,2760240,2760240,2760240,2967909,2941730,2967909,2760240,2760240
457,60_10_100_7,2923767,2923767,2782718,2770770,3006539,2767504,2923800,2923800,2780533,2770770,2767504,2767504,2767504,2767504,2999227,2767504,2767504,2767504,2767504,2767504,3028344,2997196,2940263,2767504,2767504
458,60_10_100_8,2878290,2878290,2704204,2700523,2925059,2697206,2878290,2878290,2704204,2700523,2697206,2697206,2697206,2697206,2898687,2697206,2697206,2697206,2697206,2697206,2901482,2858476,2901482,2697206,2697206
459,60_10_100_9,3061982,3061982,2810223,2803721,3061982,2801211,3061982,3061982,2810223,2803721,2801211,2801211,2801211,2801211,3068252,2801211,2801211,2801211,2801211,2801211,3005614,3025298,3041514,2801211,2801211
460,60_10_100_10,3014368,3014368,2782007,2773039,3014368,2769600,3014368,3014368,2779671,2773039,2769600,2769600,2769600,2769600,3014368,2769600,2769600,2769600,2769600,2769600,3008487,2985591,2979089,2769600,2769600
461,60_10_500_1,2595534,2075715,1757937,1757937,2595534,1757621,2570534,2075715,1757937,1757937,1757621,1757621,1757621,1757621,2744631,1757621,1757621,1757621,1757621,1757621,2266754,2029517,2664771,1767084,1772430
462,60_10_500_2,2267862,2021630,1694644,1693500,2300298,1693233,2267862,2021630,1693464,1693233,1693233,1693233,1693233,1693233,2781103,1693233,1693233,1693233,1693233,1693233,2070684,1967734,2432113,1704530,1711676
463,60_10_500_3,2700843,2104006,1771184,1770088,2757561,1769924,2700885,2104122,1771184,1770088,1769924,1769924,1769924,1769924,2841858,1769924,1769924,1769924,1769924,1769924,2252444,2202433,2545821,1777622,1784418
464,60_10_500_4,2707746,2110476,1739853,1739448,2707746,1739448,2661724,2083531,1739448,1739448,1739448,1739448,1739448,1739448,2840914,1739448,1739448,1739448,1739448,1739448,2231452,2119228,2676973,1751822,1766868
465,60_10_500_5,2734373,2062268,1768963,1768963,2760329,1768839,2652431,2062268,1768963,1768963,1768839,1768839,1768839,1768839,2754768,1768839,1768839,1768839,1768839,1768839,2103398,2000488,2507713,1779215,1777413
466,60_10_500_6,2553634,2051262,1751783,1751668,2553634,1751668,2517094,2002887,1751783,1751668,1751668,1751668,1751668,1751668,3051847,1751668,1751668,1751668,1751668,1751668,2262036,2056839,2736425,1765342,1771794
467,60_10_500_7,2694487,2355053,1894094,1894288,2724600,1893530,2694487,2326895,1894094,1894288,1893530,1893530,1893530,1893530,3046001,1893530,1893530,1893530,1893530,1893530,2373348,2196671,2867125,1905518,1912487
468,60_10_500_8,2589024,2086266,1733915,1733298,2589024,1733027,2564769,2074234,1733535,1733298,1733027,1733027,1733027,1733027,2577257,1733027,1733027,1733027,1733027,1733027,2122346,1884897,2723705,1733601,1737939
469,60_10_500_9,2565210,2154708,1794585,1793646,2565210,1792920,2565210,2140628,1794585,1793646,1792920,1792920,1792920,1792920,2894479,1792920,1792920,1792920,1792920,1792920,2251477,2054460,2810463,1809848,1808425
470,60_10_500_10,2552812,2052146,1709040,1708362,2552812,1708362,2552812,1994832,1709040,1708362,1708362,1708362,1708362,1708362,2886528,1708362,1708362,1708362,1708362,1708362,2329610,1926904,2602645,1711465,1725503
471,60_10_1000_1,499698,499698,481806,481806,499698,481806,498592,495618,481806,481806,481806,481806,481806,481806,2604906,481806,481806,481806,481806,481806,903430,892623,2284251,531880,541573
472,60_10_1000_2,483871,474952,469969,469969,483871,469882,478220,473647,469969,469882,469882,469882,469882,469882,1907663,469882,469882,469882,469882,469882,838124,829144,2035262,479479,490157
473,60_10_1000_3,634239,611812,610931,610931,634239,610931,621237,611812,610931,610931,610931,610931,610931,610931,2982888,610931,610931,610931,610931,610931,997902,1012724,2272980,621035,644210
474,60_10_1000_4,534750,532902,524573,524573,534750,524405,531248,531510,524573,524573,524405,524405,524405,524405,2963626,524405,524405,524405,524405,524405,962415,983695,2103469,598273,595202
475,60_10_1000_5,616673,607146,593080,593080,616673,593080,616673,605319,593080,593080,593080,593080,593080,593080,2606033,593080,593080,593080,593080,593080,1170967,968275,2636777,648412,606309
