Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
69,20_2_500_9,632406,633100,644194,591774,675665,570445,645062,643811,613020,588180,571021,571021,571021,571021,677312,571021,576333,576333,574136,574136,734001,748756,651202,570403,576974
70,20_2_500_10,656508,680213,678203,626860,661878,592999,673006,679331,658672,601735,592999,592999,592999,592999,708401,592999,592999,592999,592999,592999,744619,712811,678402,592999,597562
71,20_2_1000_1,181937,152553,165318,152553,181937,152553,163938,152553,152553,152553,152553,152553,152553,152553,429384,152553,152553,152553,152553,152553,425151,396603,329187,156005,165704
72,20_2_1000_2,253878,177024,174703,174703,253878,172383,212882,173407,174703,174703,172383,172383,172383,172383,374100,172383,172383,172383,172175,172175,385858,355355,256979,172383,203218
73,20_2_1000_3,246297,190681,183919,183919,246297,177773,227783,177773,183919,178004,227976,227976,189199,189199,425934,189199,227976,227976,218283,218283,460695,460695,369922,186872,204844
74,20_2_1000_4,184796,158488,175504,163999,184892,158281,170588,158373,163999,160558,160981,163856,158281,158281,344640,158281,162292,162292,162448,162448,374523,400181,327952,168776,168385
75,20_2_1000_5,188174,206498,180110,180110,188174,179624,200258,206498,180110,180110,187688,187688,187688,187688,441144,187688,187688,187688,187018,187018,435516,439272,257634,180688,187644
76,20_2_1000_6,295851,229847,230973,230009,295851,228758,285931,229847,230009,230009,228758,228758,228758,228758,486170,228758,228758,228758,228758,228758,551137,405637,418375,228758,228758
77,20_2_1000_7,316166,291282,264582,263100,317102,261955,283650,281226,264582,263100,264352,264352,261955,261955,470952,261955,264352,264352,273889,273889,578039,534150,449008,272130,281804
78,20_2_1000_8,239563,216939,203708,198649,239563,198649,242960,208648,198649,198649,198649,198649,198649,198649,458132,198649,198649,198649,198649,198649,375423,402577,348055,198649,205876
79,20_2_1000_9,204234,204234,204234,191474,204234,189773,204234,191474,191474,189773,189773,189773,189773,189773,435148,189773,189773,189773,189773,189773,363172,368384,376641,191474,203642
80,20_2_1000_10,234738,220860,221601,219533,234738,224163,234738,222725,219533,216133,228339,228339,224163,224163,346621,224163,228339,228339,217293,217293,362094,351628,377255,245323,220949
81,20_5_20_1,951210,951297,953432,953370,951682,940654,951297,951297,953432,953370,940654,940654,940654,940654,955195,940654,940654,940654,940654,940654,947385,947465,947750,940654,940654
82,20_5_20_2,973094,973094,975445,974920,976432,966831,973094,973094,974920,974920,966831,966831,966831,966831,981148,966831,966831,966831,966831,966831,971352,973543,971716,966831,966831
83,20_5_20_3,997862,997862,996947,996947,997862,987029,997862,997862,996947,996947,987029,987029,987029,987029,1001296,987029,987029,987029,987029,987029,995818,995818,996253,987029,987029
84,20_5_20_4,979710,979710,978849,978849,979844,971977,979710,979710,978849,978849,971977,971977,971977,971977,985972,971977,971977,971977,971977,971977,978063,978063,979064,971977,971977
85,20_5_20_5,963847,963847,966898,966898,964617,954826,963847,963847,966898,966898,954826,954826,954826,954826,972126,954826,954826,954826,954826,954826,963456,963910,962871,954826,954826
86,20_5_20_6,946715,946715,945363,945363,946526,936643,946715,946715,945363,945363,936643,936643,936643,936643,946847,936643,936643,936643,936643,936643,944000,944000,944069,936643,936643
87,20_5_20_7,969048,969048,969622,969646,968757,960382,969048,969048,969622,969646,960382,960382,960382,960382,971869,960382,960382,960382,960382,960382,969779,969779,969779,960382,960382
88,20_5_20_8,979395,978243,980092,980017,980841,971007,979395,979395,980092,980017,971007,971007,971007,971007,980938,971007,971007,971007,971007,971007,976968,976968,977050,971007,971007
89,20_5_20_9,989067,989067,990067,990067,988058,978480,989067,989067,990067,990067,978480,978480,978480,978480,992677,978480,978480,978480,978480,978480,983870,983870,984361,978480,978480
90,20_5_20_10,918374,918374,923167,923167,922784,912716,918374,918374,923167,923167,912716,912716,912716,912716,923785,912716,912716,912716,912716,912716,918392,918392,918686,912716,912716
91,20_5_100_1,940321,940192,947981,912469,950193,899185,941411,941411,948026,912469,899185,899185,899185,899185,950157,899185,899185,899185,899185,899185,926265,926265,927131,899185,899185
92,20_5_100_2,933653,933653,942127,924120,935378,895237,933653,933653,942127,924120,895237,895237,895237,895237,935633,895237,895237,895237,895237,895237,932512,957431,933543,895237,895237
93,20_5_100_3,1005865,1005865,1001825,982686,1008647,956913,1005865,1005865,995125,982686,956913,956913,956913,956913,1005689,956913,956913,956913,956913,956913,980465,996805,985189,956913,956913
94,20_5_100_4,917884,917884,910648,899664,917670,875591,917948,917884,908268,896752,875591,875591,875591,875591,941650,875591,875591,875591,875591,875591,915805,915805,909272,875591,875591
